geo,vid,estimate,estlb,estub,estse,estrse,pop,number,numlb,numub,numerator,denominator,indicator,year,datatype
98171,98171,,,,,,,,,,,,pqiacute,2011,vs
98174,98174,,,,,,,,,,,,pqiacute,2011,vs
98175,98175,,,,,,,,,,,,pqiacute,2011,vs
98177,98177,109.9,77.9,150.9,17.8324,0.162215955608114,18788,19,,,38,34569,pqiacute,2011,vs
98178,98178,136.0,103.8,174.9,17.552099999999999,0.129097528684907,22697,30,,,60,44131,pqiacute,2011,vs
98188,98188,139.7,107.2,179.0,17.744,0.126996850844546,22102,31,,,62,44375,pqiacute,2011,vs
98194,98194,,,,,,,,,,,,pqiacute,2011,vs
98195,98195,0.0,0.0,44.0,0,,2902,0,,,0,8372,pqiacute,2011,vs
98198,98198,168.2,138.5,202.3,15.8908,0.094492477849795,34863,56,,,112,66598,pqiacute,2011,vs
98199,98199,57.7,36.6,86.5,12.0212,0.208520381613183,19684,12,,,23,39895,pqiacute,2011,vs
98224,98224,,,,369.87990000000002,0.999999729642046,129,,,,,270,pqiacute,2011,vs
98288,98288,,,,,,,,,,,,pqiacute,2011,vs
98001,98001,484.1,430.8,542.3,28.0426,0.057928484372741,31769,149,,,298,61559,pqiall,2011,vs
98002,98002,1069.0,987.8,1155.2,42.287399999999998,0.039559384822631,32059,320,,,639,59778,pqiall,2011,vs
98003,98003,752.4,694.8,813.6,30.023900000000001,0.039904173312068,43989,314,,,628,83467,pqiall,2011,vs
98004,98004,131.3,102.6,165.6,15.585900000000001,0.118677377598416,28340,36,,,71,54063,pqiall,2011,vs
98005,98005,178.4,136.8,228.5,22.653199999999998,0.127001177328026,17669,31,,,62,34759,pqiall,2011,vs
98006,98006,221.1,187.2,259.4,18.051300000000001,0.081650533743441,36549,75,,,150,67848,pqiall,2011,vs
98007,98007,250.8,209.5,298.0,22.082999999999998,0.088046728599338,25236,65,,,129,51432,pqiall,2011,vs
98008,98008,196.9,158.2,242.3,20.875299999999999,0.105998273585864,24423,45,,,89,45192,pqiall,2011,vs
98009,98009,,,,,,,,,,,,pqiall,2011,vs
98010,98010,596.4,448.4,777.5,81.156700000000001,0.136082195915356,4687,27,,,54,9055,pqiall,2011,vs
98011,98011,302.3,259.4,350.4,22.789100000000001,0.075378229087421,29533,88,,,176,58214,pqiall,2011,vs
98013,98013,,,,,,,,,,,,pqiall,2011,vs
98014,98014,348.2,257.8,460.6,49.742100000000001,0.14285907119676,7050,25,,,49,14073,pqiall,2011,vs
98015,98015,,,,,,,,,,,,pqiall,2011,vs
98019,98019,157.7,108.0,222.7,27.8828,0.17677550244088,10650,16,,,32,20288,pqiall,2011,vs
98022,98022,399.6,340.0,466.7,31.688199999999998,0.079305753685212,21217,80,,,159,39793,pqiall,2011,vs
98023,98023,441.2,399.6,486.0,21.764600000000002,0.049325990390717,48097,206,,,411,93147,pqiall,2011,vs
98024,98024,307.4,218.8,420.5,49.2271,0.16012978986403,5539,20,,,39,12686,pqiall,2011,vs
98025,98025,,,,,,,,,,,,pqiall,2011,vs
98027,98027,219.9,181.6,263.9,20.5047,0.093249806721543,26752,58,,,115,52299,pqiall,2011,vs
98028,98028,262.6,215.1,317.5,25.505099999999999,0.097128984348223,20683,53,,,106,40367,pqiall,2011,vs
98029,98029,133.6,102.0,171.9,17.249700000000001,0.12909519533004,24682,30,,,60,44905,pqiall,2011,vs
98030,98030,506.4,453.9,563.3,27.542100000000001,0.054392329567896,34799,169,,,338,66751,pqiall,2011,vs
98031,98031,452.2,404.9,503.5,24.815300000000001,0.054881679051663,38124,166,,,332,73426,pqiall,2011,vs
98032,98032,520.4,466.3,579.2,28.3916,0.054554118709529,31706,168,,,336,64562,pqiall,2011,vs
98033,98033,150.1,123.1,181.4,14.5116,0.096673106388648,34717,54,,,107,71281,pqiall,2011,vs
98034,98034,300.8,264.8,340.4,18.987400000000001,0.063118808589854,40226,126,,,251,83439,pqiall,2011,vs
98035,98035,,,,,,,,,,,,pqiall,2011,vs
98038,98038,269.2,227.8,316.0,22.051400000000001,0.081923691347476,29967,75,,,149,55355,pqiall,2011,vs
98039,98039,,,,29.955100000000002,0.707155335221908,2973,,,,,4721,pqiall,2011,vs
98040,98040,144.5,108.9,187.9,19.4847,0.134842214532872,22710,28,,,55,38062,pqiall,2011,vs
98041,98041,,,,,,,,,,,,pqiall,2011,vs
98042,98042,343.3,305.1,385.0,20.090399999999999,0.058519705222685,44285,146,,,292,85055,pqiall,2011,vs
98045,98045,287.7,228.2,357.9,32.162599999999998,0.111803802968679,14082,40,,,80,27810,pqiall,2011,vs
98047,98047,868.5,711.3,1050.2,84.353399999999993,0.09712874365263,6389,53,,,106,12205,pqiall,2011,vs
98050,98050,,,,,,,,,,,,pqiall,2011,vs
98051,98051,248.9,156.2,376.6,53.0548,0.213199919630299,4574,11,,,22,8841,pqiall,2011,vs
98052,98052,196.3,171.9,223.2,12.860200000000001,0.065512990320937,59287,117,,,233,118695,pqiall,2011,vs
98053,98053,135.1,99.0,180.3,19.920300000000001,0.147437643401673,19119,23,,,46,34047,pqiall,2011,vs
98054,98054,,,,,,,,,,,,pqiall,2011,vs
98055,98055,449.1,388.7,516.4,31.999099999999999,0.071246855030837,22230,99,,,197,43863,pqiall,2011,vs
98056,98056,343.2,300.4,390.6,22.6326,0.065938119100338,33531,115,,,230,67008,pqiall,2011,vs
98057,98057,,,,,,,,,,,,pqiall,2011,vs
98058,98058,371.9,331.3,416.1,21.328600000000002,0.057353447348607,42270,152,,,304,81748,pqiall,2011,vs
98059,98059,271.4,232.7,314.7,20.5124,0.075593882439654,33641,88,,,175,64491,pqiall,2011,vs
98062,98062,,,,,,,,,,,,pqiall,2011,vs
98063,98063,,,,,,,,,,,,pqiall,2011,vs
98064,98064,,,,,,,,,,,,pqiall,2011,vs
98065,98065,259.9,195.9,338.0,35.041899999999998,0.134838771740803,12942,28,,,55,21164,pqiall,2011,vs
98068,98068,,,,,,,,,,,,pqiall,2011,vs
98070,98070,258.3,193.1,338.4,35.818399999999997,0.138675132602888,10739,26,,,52,20132,pqiall,2011,vs
98071,98071,,,,,,,,,,,,pqiall,2011,vs
98072,98072,291.2,242.8,346.4,25.8369,0.088734759762338,22382,64,,,127,43618,pqiall,2011,vs
98073,98073,,,,,,,,,,,,pqiall,2011,vs
98074,98074,132.2,101.9,168.8,16.529299999999999,0.125004159419194,25811,32,,,64,48399,pqiall,2011,vs
98075,98075,79.6,53.8,113.7,14.5334,0.18258040201005,21118,15,,,30,37687,pqiall,2011,vs
98077,98077,150.3,107.5,204.7,23.7592,0.158110068543289,13737,20,,,40,26619,pqiall,2011,vs
98082,98082,,,,,,,,,,,,pqiall,2011,vs
98083,98083,,,,,,,,,,,,pqiall,2011,vs
98089,98089,,,,,,,,,,,,pqiall,2011,vs
98092,98092,498.6,449.2,551.9,25.848400000000002,0.051847156754588,39212,186,,,372,74617,pqiall,2011,vs
98093,98093,,,,,,,,,,,,pqiall,2011,vs
98101,98101,1098.3,970.2,1238.8,67.468900000000005,0.061429742058253,10240,133,,,265,24128,pqiall,2011,vs
98102,98102,132.3,104.3,165.6,15.180400000000001,0.114707571406982,22102,38,,,76,57428,pqiall,2011,vs
98103,98103,163.9,140.9,189.7,12.215400000000001,0.074534138751602,46297,90,,,180,109832,pqiall,2011,vs
98104,98104,1953.3,1799.0,2117.6,80.417100000000005,0.041169444842627,13052,295,,,590,30205,pqiall,2011,vs
98105,98105,91.8,74.2,112.3,9.464700000000001,0.103146251089799,41329,47,,,94,102438,pqiall,2011,vs
98106,98106,566.8,501.8,637.9,34.176099999999998,0.060301896779885,23225,138,,,275,48523,pqiall,2011,vs
98107,98107,192.0,156.1,233.7,19.296399999999998,0.100502083333333,21912,50,,,99,51563,pqiall,2011,vs
98108,98108,402.0,345.3,465.3,30.043900000000001,0.074743506816599,22818,90,,,179,44532,pqiall,2011,vs
98109,98109,302.1,254.2,356.4,25.530999999999999,0.084514548644444,19214,70,,,140,46344,pqiall,2011,vs
98111,98111,,,,,,,,,,,,pqiall,2011,vs
98112,98112,177.3,139.5,222.2,20.4724,0.115467569091935,20253,38,,,75,42302,pqiall,2011,vs
98113,98113,,,,,,,,,,,,pqiall,2011,vs
98114,98114,,,,,,,,,,,,pqiall,2011,vs
98115,98115,166.1,141.5,193.8,13.090299999999999,0.078809753160747,46365,81,,,161,96931,pqiall,2011,vs
98116,98116,243.2,200.2,292.8,23.084599999999998,0.094916327453641,21841,56,,,111,45639,pqiall,2011,vs
98117,98117,189.5,157.7,225.9,17.017700000000001,0.089803166226913,30609,62,,,124,65435,pqiall,2011,vs
98118,98118,494.8,447.9,545.3,24.5261,0.049568705915641,43139,204,,,407,82256,pqiall,2011,vs
98119,98119,110.8,84.6,142.5,14.3041,0.129098375451264,22464,30,,,60,54152,pqiall,2011,vs
98121,98121,459.6,391.1,536.9,36.450600000000001,0.07930594839215,13131,80,,,159,34593,pqiall,2011,vs
98122,98122,417.8,372.9,466.7,23.5793,0.05643275973482,31112,157,,,314,75151,pqiall,2011,vs
98124,98124,,,,,,,,,,,,pqiall,2011,vs
98125,98125,299.6,262.4,340.7,19.628299999999999,0.065512833350022,36997,117,,,233,77767,pqiall,2011,vs
98126,98126,331.2,279.2,390.1,27.694299999999998,0.083623105259979,21339,72,,,143,43180,pqiall,2011,vs
98127,98127,,,,,,,,,,,,pqiall,2011,vs
98129,98129,,,,,,,,,,,,pqiall,2011,vs
98131,98131,,,,,,,,,,,,pqiall,2011,vs
98132,98132,,,,,,,,,,,,pqiall,2011,vs
98133,98133,399.1,359.2,442.2,20.888200000000001,0.052342195604781,45023,183,,,365,91463,pqiall,2011,vs
98134,98134,759.5,476.6,1149.3,161.91749999999999,0.213200826903326,1125,11,,,22,2897,pqiall,2011,vs
98136,98136,170.7,127.2,224.2,23.896000000000001,0.140029299736302,14478,26,,,51,29885,pqiall,2011,vs
98138,98138,,,,,,,,,,,,pqiall,2011,vs
98139,98139,,,,,,,,,,,,pqiall,2011,vs
98141,98141,,,,,,,,,,,,pqiall,2011,vs
98144,98144,482.4,426.7,543.4,29.301300000000001,0.060745708599386,27591,136,,,271,56182,pqiall,2011,vs
98145,98145,,,,,,,,,,,,pqiall,2011,vs
98146,98146,601.8,536.4,673.0,34.344700000000003,0.057072801901059,26093,154,,,307,51016,pqiall,2011,vs
98148,98148,570.5,465.4,692.4,56.488799999999998,0.099014565914708,8910,51,,,102,17879,pqiall,2011,vs
98154,98154,,,,,,,,,,,,pqiall,2011,vs
98155,98155,363.8,319.2,413.0,23.5318,0.064685120536573,32789,120,,,239,65697,pqiall,2011,vs
98158,98158,,,,,,,,,,,,pqiall,2011,vs
98160,98160,,,,,,,,,,,,pqiall,2011,vs
98161,98161,,,,,,,,,,,,pqiall,2011,vs
98164,98164,,,,,,,,,,,,pqiall,2011,vs
98165,98165,,,,,,,,,,,,pqiall,2011,vs
98166,98166,437.1,375.0,506.7,32.948700000000002,0.075378508842168,21242,88,,,176,40264,pqiall,2011,vs
98168,98168,613.3,555.9,675.1,30.0335,0.048970324474156,34408,209,,,417,67993,pqiall,2011,vs
98171,98171,,,,,,,,,,,,pqiall,2011,vs
98174,98174,,,,,,,,,,,,pqiall,2011,vs
98175,98175,,,,,,,,,,,,pqiall,2011,vs
98177,98177,251.7,201.7,310.3,26.982199999999999,0.107212619700401,18788,44,,,87,34569,pqiall,2011,vs
98178,98178,636.7,564.5,715.7,37.9846,0.059654804158683,22697,141,,,281,44131,pqiall,2011,vs
98188,98188,540.8,474.7,613.8,34.911000000000001,0.064549589527402,22102,120,,,240,44375,pqiall,2011,vs
98194,98194,,,,,,,,,,,,pqiall,2011,vs
98195,98195,0.0,0.0,44.0,0,,2902,0,,,0,8372,pqiall,2011,vs
98198,98198,513.5,460.6,571.0,27.7683,0.054073374486398,34863,171,,,342,66598,pqiall,2011,vs
98199,98199,162.9,125.8,207.6,20.2087,0.124033020315473,19684,33,,,65,39895,pqiall,2011,vs
98224,98224,,,,523.08910000000003,0.707106493998053,129,,,,,270,pqiall,2011,vs
98288,98288,,,,,,,,,,,,pqiall,2011,vs
98001,98001,321.6,278.5,369.7,22.8582,0.071067653276956,31769,99,,,198,61559,pqichronic,2011,vs
98002,98002,647.4,584.6,715.3,32.909100000000002,0.050832715477294,32059,194,,,387,59778,pqichronic,2011,vs
98003,98003,509.2,462.0,560.0,24.699100000000001,0.048506647813194,43989,213,,,425,83467,pqichronic,2011,vs
98004,98004,77.7,56.0,105.1,11.987399999999999,0.154297850431201,28340,21,,,42,54063,pqichronic,2011,vs
98005,98005,92.1,63.0,130.0,16.2745,0.176781446882468,17669,16,,,32,34759,pqichronic,2011,vs
98006,98006,145.9,118.6,177.6,14.664899999999999,0.100506476595161,36549,50,,,99,67848,pqichronic,2011,vs
98007,98007,167.2,133.8,206.4,18.0307,0.107832665510436,25236,43,,,86,51432,pqichronic,2011,vs
98008,98008,112.8,84.1,148.3,15.8024,0.140030128489145,24423,26,,,51,45192,pqichronic,2011,vs
98009,98009,,,,,,,,,,,,pqichronic,2011,vs
98010,98010,452.8,325.3,614.6,70.716300000000004,0.156172125173914,4687,21,,,41,9055,pqichronic,2011,vs
98011,98011,134.0,106.0,167.2,15.171099999999999,0.11322561385178,29533,39,,,78,58214,pqichronic,2011,vs
98013,98013,,,,,,,,,,,,pqichronic,2011,vs
98014,98014,227.4,155.7,321.1,40.197699999999998,0.176778662210299,7050,16,,,32,14073,pqichronic,2011,vs
98015,98015,,,,,,,,,,,,pqichronic,2011,vs
98019,98019,59.2,30.6,103.0,17.0746,0.288666103127642,10650,6,,,12,20288,pqichronic,2011,vs
98022,98022,238.7,193.2,291.8,24.494,0.102596967412248,21217,48,,,95,39793,pqichronic,2011,vs
98023,98023,280.2,247.3,316.3,17.344100000000001,0.061899000713776,48097,131,,,261,93147,pqichronic,2011,vs
98024,98024,212.8,140.4,309.7,40.959400000000002,0.192451252173096,5539,14,,,27,12686,pqichronic,2011,vs
98025,98025,,,,,,,,,,,,pqichronic,2011,vs
98027,98027,122.4,94.3,156.2,15.2966,0.125002860178148,26752,32,,,64,52299,pqichronic,2011,vs
98028,98028,123.9,92.0,163.4,17.516999999999999,0.141425803326336,20683,25,,,50,40367,pqichronic,2011,vs
98029,98029,71.3,48.8,100.6,12.5974,0.176780802694359,24682,16,,,32,44905,pqichronic,2011,vs
98030,98030,329.6,287.5,376.1,22.220300000000002,0.067420049760301,34799,110,,,220,66751,pqichronic,2011,vs
98031,98031,292.8,255.0,334.7,19.9696,0.068199856562276,38124,108,,,215,73426,pqichronic,2011,vs
98032,98032,328.4,285.7,375.7,22.552199999999999,0.068681325374589,31706,106,,,212,64562,pqichronic,2011,vs
98033,98033,82.8,63.0,106.7,10.7758,0.130189682252024,34717,30,,,59,71281,pqichronic,2011,vs
98034,98034,183.4,155.5,214.8,14.824299999999999,0.080843649451928,40226,77,,,153,83439,pqichronic,2011,vs
98035,98035,,,,,,,,,,,,pqichronic,2011,vs
98038,98038,153.6,122.7,189.8,16.6553,0.108468251383914,29967,43,,,85,55355,pqichronic,2011,vs
98039,98039,,,,21.1814,1.000066100094429,2973,,,,,4721,pqichronic,2011,vs
98040,98040,63.1,40.5,93.8,12.8712,0.204110371075166,22710,12,,,24,38062,pqichronic,2011,vs
98041,98041,,,,,,,,,,,,pqichronic,2011,vs
98042,98042,201.1,172.1,233.5,15.3743,0.076470032330266,44285,86,,,171,85055,pqichronic,2011,vs
98045,98045,151.0,109.0,204.3,23.303999999999998,0.154300470105277,14082,21,,,42,27810,pqichronic,2011,vs
98047,98047,540.8,418.5,687.6,66.561300000000003,0.123090707350902,6389,33,,,66,12205,pqichronic,2011,vs
98050,98050,,,,,,,,,,,,pqichronic,2011,vs
98051,98051,158.4,86.7,265.1,42.323099999999997,0.267258777469058,4574,7,,,14,8841,pqichronic,2011,vs
98052,98052,120.5,101.6,141.9,10.0748,0.083622177954847,59287,72,,,143,118695,pqichronic,2011,vs
98053,98053,52.9,31.4,83.5,12.461,0.235691318327974,19119,9,,,18,34047,pqichronic,2011,vs
98054,98054,,,,,,,,,,,,pqichronic,2011,vs
98055,98055,326.0,274.9,384.0,27.263000000000002,0.083623704067235,22230,72,,,143,43863,pqichronic,2011,vs
98056,98056,225.3,190.9,264.3,18.3383,0.0813805804562,33531,76,,,151,67008,pqichronic,2011,vs
98057,98057,,,,,,,,,,,,pqichronic,2011,vs
98058,98058,247.1,214.3,283.6,17.385999999999999,0.07036017806556,42270,101,,,202,81748,pqichronic,2011,vs
98059,98059,145.8,117.8,178.3,15.0336,0.103139407244786,33641,47,,,94,64491,pqichronic,2011,vs
98062,98062,,,,,,,,,,,,pqichronic,2011,vs
98063,98063,,,,,,,,,,,,pqichronic,2011,vs
98064,98064,,,,,,,,,,,,pqichronic,2011,vs
98065,98065,122.8,80.3,180.0,24.0931,0.19611803011803,12942,13,,,26,21164,pqichronic,2011,vs
98068,98068,,,,,,,,,,,,pqichronic,2011,vs
98070,98070,193.7,137.9,264.9,31.0197,0.16012647119554,10739,20,,,39,20132,pqichronic,2011,vs
98071,98071,,,,,,,,,,,,pqichronic,2011,vs
98072,98072,178.8,141.4,223.1,20.248100000000001,0.113225409606889,22382,39,,,78,43618,pqichronic,2011,vs
98073,98073,,,,,,,,,,,,pqichronic,2011,vs
98074,98074,64.0,43.6,90.9,11.5039,0.179608118657299,25811,16,,,31,48399,pqichronic,2011,vs
98075,98075,45.1,26.3,72.1,10.9404,0.242527155841277,21118,9,,,17,37687,pqichronic,2011,vs
98077,98077,75.1,46.0,116.0,16.8003,0.223616398243045,13737,10,,,20,26619,pqichronic,2011,vs
98082,98082,,,,,,,,,,,,pqichronic,2011,vs
98083,98083,,,,,,,,,,,,pqichronic,2011,vs
98089,98089,,,,,,,,,,,,pqichronic,2011,vs
98092,98092,306.9,268.5,349.3,20.2806,0.06608211143695,39212,115,,,229,74617,pqichronic,2011,vs
98093,98093,,,,,,,,,,,,pqichronic,2011,vs
98101,98101,737.7,633.5,854.4,55.2956,0.074952693360805,10240,89,,,178,24128,pqichronic,2011,vs
98102,98102,88.8,66.2,116.7,12.435499999999999,0.140023645985812,22102,26,,,51,57428,pqichronic,2011,vs
98103,98103,102.9,84.8,123.7,9.678599999999999,0.094076594090202,46297,57,,,113,109832,pqichronic,2011,vs
98104,98104,1344.2,1216.7,1481.5,66.709199999999996,0.049629282446156,13052,203,,,406,30205,pqichronic,2011,vs
98105,98105,60.5,46.4,77.5,7.6866,0.127009253139458,41329,31,,,62,102438,pqichronic,2011,vs
98106,98106,410.1,355.2,471.2,29.072500000000002,0.070887788939822,23225,100,,,199,48523,pqichronic,2011,vs
98107,98107,108.6,82.1,140.9,14.5129,0.133636279926335,21912,28,,,56,51563,pqichronic,2011,vs
98108,98108,269.5,223.5,322.2,24.5991,0.091286970720303,22818,60,,,120,44532,pqichronic,2011,vs
98109,98109,194.2,156.2,238.6,20.470400000000001,0.10540885684861,19214,45,,,90,46344,pqichronic,2011,vs
98111,98111,,,,,,,,,,,,pqichronic,2011,vs
98112,98112,113.5,83.7,150.5,16.3779,0.144336829117828,20253,24,,,48,42302,pqichronic,2011,vs
98113,98113,,,,,,,,,,,,pqichronic,2011,vs
98114,98114,,,,,,,,,,,,pqichronic,2011,vs
98115,98115,86.7,69.2,107.3,9.455299999999999,0.109108008308331,46365,42,,,84,96931,pqichronic,2011,vs
98116,98116,144.6,111.9,183.9,17.8005,0.123093147085264,21841,33,,,66,45639,pqichronic,2011,vs
98117,98117,91.7,70.0,118.0,11.8377,0.129105682189988,30609,30,,,60,65435,pqichronic,2011,vs
98118,98118,359.9,320.1,403.3,20.915900000000001,0.058123940530777,43139,148,,,296,82256,pqichronic,2011,vs
98119,98119,55.4,37.4,79.1,10.1145,0.182572202166065,22464,15,,,30,54152,pqichronic,2011,vs
98121,98121,329.5,271.9,395.8,30.8645,0.093659343327062,13131,57,,,114,34593,pqichronic,2011,vs
98122,98122,304.7,266.6,346.9,20.136500000000002,0.066081976896823,31112,115,,,229,75151,pqichronic,2011,vs
98124,98124,,,,,,,,,,,,pqichronic,2011,vs
98125,98125,194.2,164.5,227.7,15.801299999999999,0.081378688777875,36997,76,,,151,77767,pqichronic,2011,vs
98126,98126,222.3,180.2,271.4,22.691199999999998,0.102060900463275,21339,48,,,96,43180,pqichronic,2011,vs
98127,98127,,,,,,,,,,,,pqichronic,2011,vs
98129,98129,,,,,,,,,,,,pqichronic,2011,vs
98131,98131,,,,,,,,,,,,pqichronic,2011,vs
98132,98132,,,,,,,,,,,,pqichronic,2011,vs
98133,98133,265.7,233.4,301.3,17.043399999999998,0.064150105389943,45023,122,,,243,91463,pqichronic,2011,vs
98134,98134,517.8,290.3,852.4,133.69900000000001,0.258200884494313,1125,8,,,15,2897,pqichronic,2011,vs
98136,98136,100.4,67.8,143.3,18.327400000000001,0.18258019525802,14478,15,,,30,29885,pqichronic,2011,vs
98138,98138,,,,,,,,,,,,pqichronic,2011,vs
98139,98139,,,,,,,,,,,,pqichronic,2011,vs
98141,98141,,,,,,,,,,,,pqichronic,2011,vs
98144,98144,315.1,270.4,365.0,23.680399999999999,0.075163942231392,27591,89,,,177,56182,pqichronic,2011,vs
98145,98145,,,,,,,,,,,,pqichronic,2011,vs
98146,98146,423.4,368.9,483.8,28.808299999999999,0.068041994378705,26093,108,,,216,51016,pqichronic,2011,vs
98148,98148,413.9,325.2,519.4,48.114800000000002,0.116247402754288,8910,37,,,74,17879,pqichronic,2011,vs
98154,98154,,,,,,,,,,,,pqichronic,2011,vs
98155,98155,223.8,189.1,263.0,18.454999999999998,0.082476760815159,32789,74,,,147,65697,pqichronic,2011,vs
98158,98158,,,,,,,,,,,,pqichronic,2011,vs
98160,98160,,,,,,,,,,,,pqichronic,2011,vs
98161,98161,,,,,,,,,,,,pqichronic,2011,vs
98164,98164,,,,,,,,,,,,pqichronic,2011,vs
98165,98165,,,,,,,,,,,,pqichronic,2011,vs
98166,98166,275.7,226.9,331.9,26.166399999999999,0.094915844457342,21242,56,,,111,40264,pqichronic,2011,vs
98168,98168,457.4,408.0,511.2,25.936900000000001,0.056705072146917,34408,156,,,311,67993,pqichronic,2011,vs
98171,98171,,,,,,,,,,,,pqichronic,2011,vs
98174,98174,,,,,,,,,,,,pqichronic,2011,vs
98175,98175,,,,,,,,,,,,pqichronic,2011,vs
98177,98177,141.8,105.0,187.5,20.249600000000001,0.142854320987654,18788,25,,,49,34569,pqichronic,2011,vs
98178,98178,500.8,437.0,571.3,33.686100000000003,0.067267263069611,22697,111,,,221,44131,pqichronic,2011,vs
98188,98188,401.1,344.4,464.6,30.0654,0.074953629836458,22102,89,,,178,44375,pqichronic,2011,vs
98194,98194,,,,,,,,,,,,pqichronic,2011,vs
98195,98195,0.0,0.0,44.0,0,,2902,0,,,0,8372,pqichronic,2011,vs
98198,98198,345.4,302.2,393.0,22.771899999999999,0.065938613001303,34863,115,,,230,66598,pqichronic,2011,vs
98199,98199,105.3,75.9,142.4,16.244499999999999,0.15429806231003,19684,21,,,42,39895,pqichronic,2011,vs
98224,98224,,,,369.87990000000002,0.999999729642046,129,,,,,270,pqichronic,2011,vs
98288,98288,,,,,,,,,,,,pqichronic,2011,vs
